state_id,daily_state_label,intraday_cluster,intraday_cluster_label,n,avg_day_ret,median_day_ret,win_rate_day,avg_next_ret,median_next_ret,win_rate_next,sd_next_ret,sharpe_like_next,q05_next,q25_next,q75_next,q95_next,worst_next,best_next,avg_day_range,avg_close_location_intraday
1,Mild Trend Up,1,Strong Downtrend,12,0.007480420018951171,0.008082832822527974,0.6666666666666666,0.00830562464238846,0.012289465129077248,0.75,0.014406065073344073,0.5765366600874641,-0.013345228552388077,-5.807552794747928e-4,0.01866553626139089,0.025717338832132994,-0.018374640159806055,0.026628720574011,0.03258098448130035,0.5600948461492347
1,Mild Trend Up,2,Strong Uptrend,43,0.009144962711401194,0.008113926146713135,0.8372093023255814,0.002699809212099129,0.004214568137962615,0.7209302325581395,0.014376084828243959,0.18779864228367324,-0.022112051071385395,-0.0019948976308387656,0.012526706454018322,0.018096305804670965,-0.052578679224774216,0.027020970563218283,0.024051118204419478,0.7412553351769473
1,Mild Trend Up,4,Flat / Chop,26,0.017169027688329355,0.019257058190315535,0.8846153846153846,0.0026769244750367484,-0.0018804379723236786,0.46153846153846156,0.011743180735593058,0.22795565658996542,-0.010250319786044626,-0.0044438062238354725,0.008563115021144818,0.025610423765966395,-0.015259774945072357,0.029580630340199088,0.032976641543118676,0.808537171565485
2,Weak Pullback / Neutral,1,Strong Downtrend,17,-0.01879627692583688,-0.015011309891013735,0,0.0018010349008506805,0.004362883329223077,0.7058823529411765,0.015434521206314635,0.11668874445640942,-0.03053761639502779,-0.001009339604710946,0.009360745118573988,0.017880075155850852,-0.038832956878649294,0.026803779295524244,0.03866274162124866,0.13957406588509286
2,Weak Pullback / Neutral,2,Strong Uptrend,35,-0.01102619152133999,-0.00882385792471796,0.08571428571428572,0.004651101339157249,0.005125822780658096,0.6571428571428571,0.009954421262287544,0.467239753734153,-0.010305425303356618,-7.394781797593897e-4,0.009264635406834976,0.020497167488359322,-0.01499844500992753,0.027327568177603068,0.024016169831633277,0.2753523121240143
2,Weak Pullback / Neutral,4,Flat / Chop,3,-0.01844428026903207,-0.011938534278959856,0,-0.0206002388904436,-0.01805310938612159,0,0.016129374051305465,-1.277187746090883,-0.03587177429548178,-0.027952367669099476,-0.01197454535962672,-0.007111694138430826,-0.03785162595207736,-0.00589598133313185,0.04122964218310098,0.22711326313659821
3,Strong Momentum Up,1,Strong Downtrend,16,-0.002653480779041116,-0.0027207606857807543,0.375,0.001855988641101508,0.005336856856007932,0.75,0.014035861775115874,0.13223189789400627,-0.020950165489490663,-0.0020138706138161377,0.01153192172573897,0.0169439828639239,-0.032212555232489226,0.02113383411321279,0.0466113442830773,0.32900239553688476
3,Strong Momentum Up,2,Strong Uptrend,20,0.003038757375811485,0.006898097113301471,0.6,0.009145154736092512,0.009754746516441815,0.7894736842105263,0.027882797772429024,0.3279855490375286,-0.03634500992441467,0.003580957430728726,0.019218353727426418,0.05227426984459805,-0.06494329596420512,0.068712500474305,0.036466170449879695,0.6428455295630536
3,Strong Momentum Up,3,Mild Up Drift,1,-0.005277280858676181,-0.005277280858676181,0,-2.7822894683393606e-5,-2.7822894683393606e-5,0,NA,NA,-2.7822894683393606e-5,-2.7822894683393606e-5,-2.7822894683393606e-5,-2.7822894683393606e-5,-2.7822894683393606e-5,-2.7822894683393606e-5,0.08412343470483005,0.644869750132908
3,Strong Momentum Up,4,Flat / Chop,42,0.031542421626114606,0.028879448130304852,0.9523809523809523,0.0021491732448312467,0.0036376247072194,0.6190476190476191,0.021235289873885486,0.10120762455304341,-0.038071876815981474,-0.004260427103557507,0.015586131786394508,0.03072947998333328,-0.07242317745620142,0.03672177881650063,0.05168486490466537,0.8396579408387355
4,Oversold Rebound,1,Strong Downtrend,12,-0.02325624801487905,-0.028412608905476255,0.25,0.017705314771303705,0.012373565216805882,0.8333333333333334,0.023445071290826795,0.7551828080058409,-0.0037719003210700485,0.005651034436086999,0.021203640575883698,0.05303863883685872,-0.006098235719982692,0.08436291186282063,0.05412909106510905,0.2538862672729698
4,Oversold Rebound,2,Strong Uptrend,4,-0.005632206377675059,-0.011680086555152125,0.5,0.0010488192103066396,0.005184636133060638,0.5,0.047005747996551585,0.02231257356831302,-0.05127465015878999,-0.01787173293398142,0.0241051882773487,0.04758214488754766,-0.059625379464992134,0.053451384040097416,0.07439742075153809,0.4419464505051509
4,Oversold Rebound,3,Mild Up Drift,6,-0.08767148609872162,-0.09837670629636414,0,0.01453969503104452,0.02879409751245532,0.6666666666666666,0.07626660393290421,0.19064301124297944,-0.09403621258976722,-0.003968573212297211,0.05883251804616224,0.08929576324235966,-0.12057682152301596,0.09627093524752262,0.13364130136808722,0.14502072973781296
4,Oversold Rebound,4,Flat / Chop,5,0.027365084554934895,0.040019974318733054,0.8,-0.004528461205613632,0.003119780226762847,0.6,0.03286370362962132,-0.13779521799034106,-0.040025392633729354,-0.029706595123391133,0.005501428353338111,0.03393882369189635,-0.042605092011313905,0.04104817252653592,0.08376483349547358,0.7268544228313945
