"state_id","next_state_id","n","prob"
1,1,1064,0.492820750347383
1,2,944,0.454939759036145
1,3,76,0.228228228228228
1,4,74,0.228395061728395
2,1,965,0.446966188050023
2,2,975,0.469879518072289
2,3,68,0.204204204204204
2,4,67,0.20679012345679
3,1,61,0.0282538212135248
3,2,54,0.0260240963855422
3,3,154,0.462462462462462
3,4,65,0.200617283950617
4,1,69,0.031959240389069
4,2,102,0.0491566265060241
4,3,35,0.105105105105105
4,4,118,0.364197530864198
