date,ret_cc_1d,ret_oc_1d,gap_ret,range,body_ratio,close_location,vol_5d,vol_20d,ma_5_gap,ma_20_gap,ma_slope_5,next_ret_1d,state_id,daily_state_label,intraday_cluster,intraday_cluster_label,day_ret,day_range,max_ret_from_open,min_ret_from_open,close_location_intraday,final_direction
20250415,0.008762615781874095,0.005234266565213419,0.0035099770610851344,0.008654896121533097,0.6047752037359215,0.7585500412050179,0.03195146057528106,0.022883300289549567,0.023318869107950668,-0.012856276545979317,0.011969965004183125,-0.012101340324106369,3,Strong Momentum Up,4,Flat / Chop,0.01280276816609005,0.01903114186851211,0.01730103806228378,6.920415224913601e-4,0.7272727272727273,UP
20250416,-0.012101340324106369,-0.010251659005616531,-0.0018688400292052876,0.01338983129497763,-0.7656301845611604,0.14225145444222417,0.030792802183990213,0.02288647854437877,-0.0017424717873759654,-0.02126898250928655,0.012699940287824507,0.00938943345084664,2,Weak Pullback / Neutral,2,Strong Uptrend,-0.02071108042802905,0.027959958577839145,0.0037970314118052073,-0.022091819123230882,0.06172839506172839,DOWN
20250428,0.0010054033478608115,-9.289139219191833e-4,0.001936115754658907,0.006553690114621873,-0.14173906694896693,0.4120902387384099,0.007443861657667139,0.021694249069523944,0.009074676407633264,0.03473499859849194,0.004808575336386456,0.006496949128320217,1,Mild Trend Up,2,Strong Uptrend,0,0.012670565302144249,0.008447043534762777,-0.003898635477582846,0.3076923076923077,FLAT
20250429,0.006496949128320217,0.005948405793549716,5.452996710482161e-4,0.011434138656749339,0.5202320849973626,0.7945813344050101,0.006767993051122457,0.0214559230466691,0.009334671484903634,0.04052767747812824,0.00623768502152422,-0.003434063319616709,1,Mild Trend Up,4,Flat / Chop,0.009715025906735786,0.025582901554404146,0.019753886010362764,-0.0045336787564767,0.5949367088607594,UP
20250430,-0.003434063319616709,-0.0017297393141290085,-0.0017072771498939376,0.010296643857685686,-0.16799059363774396,0.460754360626597,0.005402259318857021,0.021416124312509704,0.0034169476194194637,0.03588829975720631,0.0024432562144149905,0.001243807818561704,2,Weak Pullback / Neutral,2,Strong Uptrend,0.0016103059581320522,0.020933977455716585,0.010305958132045046,-0.009339774557165836,0.5384615384615384,UP
20250502,0.001243807818561704,0.0012790901327850435,-3.523724261411676e-5,0.01035390706933654,0.12353695317327823,0.7261047214100589,0.00507375629045251,0.021314444825145364,0.0017194963377034078,0.03564323404784919,0.0029404530282290953,0.005473108947152472,1,Mild Trend Up,4,Flat / Chop,-9.637006103436763e-4,0.024734982332155476,0.007067137809187329,-0.016382910375843274,0.6623376623376623,DOWN
20250507,0.005473108947152472,-0.0012572525786419542,0.006738833942145472,0.008800862787332093,-0.14285560507222975,0.6450623264225279,0.0039765506670584785,0.02119085015578936,0.005038862835466507,0.039033415572316654,0.0021523082541079486,0.0022068270778108356,1,Mild Trend Up,2,Strong Uptrend,-0.006297229219143552,0.020780856423173802,6.297229219143219e-4,-0.016372795969773257,0.5303030303030303,DOWN
20250508,0.0022068270778108356,-6.934722245079961e-4,0.002902311975060412,0.00585753250627407,-0.1183898209297444,0.24470781999321825,0.003925536458990533,0.016218702645255177,0.004853862004463583,0.036071386907641,0.0023913405706250668,-8.56746690896304e-4,2,Weak Pullback / Neutral,2,Strong Uptrend,-0.003783102143757877,0.012610340479192938,0.008511979823455196,-0.003783102143757877,0,DOWN
20250509,-8.56746690896304e-4,-0.004119088379884062,0.003275835143461636,0.0071022506167595,-0.5799694494255164,0.3302517101680282,0.003339388259231024,0.016266794661603457,0.0030668681472842962,0.030155586799553546,9.232571281942992e-4,0.011663527052247824,2,Weak Pullback / Neutral,2,Strong Uptrend,-0.003783102143757877,0.015132408575031526,0.004413619167717542,-0.00914249684741486,0.3958333333333333,DOWN
20250512,0.011663527052247824,0.005162084327785532,0.006468054083844876,0.008377210328535806,0.616205649057367,1,0.004880707589563977,0.015431850657186255,0.010775606975558905,0.0356791720310774,0.003948016449976777,4.1799224392180534e-4,1,Mild Trend Up,2,Strong Uptrend,0.012788521522145935,0.018091079226450407,0.013100436681222627,-0.003119151590767366,0.9482758620689655,UP
